Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
-5.95144000e-06,2.56250000e+00,1.00400000e+02,1.96000000e+01,1.83000000e+01,1.51437500e+00
-5.95112000e-06,2.20000000e+00,1.00400000e+02,1.96250000e+01,1.81250000e+01,1.51406250e+00
-5.95080000e-06,2.67500000e+00,1.01000000e+02,1.96875000e+01,1.81750000e+01,1.51375000e+00
-5.95048000e-06,2.76250000e+00,1.00000000e+02,1.96875000e+01,1.83125000e+01,1.51312500e+00
-5.95016000e-06,2.72500000e+00,1.00650000e+02,1.96375000e+01,1.82875000e+01,1.51343750e+00
-5.94984000e-06,2.25000000e+00,1.00550000e+02,1.96250000e+01,1.83250000e+01,1.51343750e+00
-5.94952000e-06,3.13750000e+00,1.00900000e+02,1.95250000e+01,1.82250000e+01,1.51406250e+00
-5.94920000e-06,3.10000000e+00,1.00850000e+02,1.96000000e+01,1.82750000e+01,1.51500000e+00
-5.94888000e-06,1.82500000e+00,1.00350000e+02,1.98125000e+01,1.84375000e+01,1.51625000e+00
-5.94856000e-06,2.08750000e+00,1.00550000e+02,1.96500000e+01,1.82500000e+01,1.51781250e+00
-5.94824000e-06,2.50000000e+00,1.00350000e+02,1.97125000e+01,1.82625000e+01,1.51968750e+00
-5.94792000e-06,2.60000000e+00,1.00400000e+02,1.96250000e+01,1.83250000e+01,1.52125000e+00
-5.94760000e-06,2.88750000e+00,1.00850000e+02,1.96250000e+01,1.84250000e+01,1.52250000e+00
-5.94728000e-06,2.37500000e+00,1.00300000e+02,1.96875000e+01,1.81500000e+01,1.52343750e+00
-5.94696000e-06,2.75000000e+00,1.00250000e+02,1.96375000e+01,1.81375000e+01,1.52406250e+00
-5.94664000e-06,2.10000000e+00,1.00900000e+02,1.96375000e+01,1.82375000e+01,1.52406250e+00
